"9431","BIOL 499","1","IND ST: Pediat Nursng Down Syn","3","","Ind","","","ARR ","Webb, Lisa","0","Closed",
"9458","BIOL 499","2","IND ST: VCU-Pauley Heart Cntr","1","","Ind","R","1100-1215","FORBES 2012","Mitrano, Darlene","0","Closed",
"9464","BIOL 499","3","IND ST: Integrativ Res Org Bio","1","","Ind","","","ARR ","Collar, David","0","Closed",
"8147","BTMG 010","1","First YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","0","Closed",
"8148","BTMG 020","1","Second YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","4","Open",
"8149","BTMG 030","1","Third YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","8","Open",
"8150","BTMG 040","1","Fourth YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","4","Open",
"8162","BUSN 210","1","Intro to Biotechnology &amp; Mgmt","3","","Lec","TR","1800-1915","MCM 216","Smith, Elizabeth","0","Closed",
"8163","BUSN 231","1","Applied Business Statistics","3","","Lec","TR","1100-1215","LUTR 123","Bazzani, Phillip","0","Closed",
"8164","BUSN 231","2","Applied Business Statistics","3","","Lec","MW","1800-1915","LUTR 123","Gibson, John","0","Closed",
"8165","BUSN 231","3","Applied Business Statistics","3","","Lec","MW","1930-2045","LUTR 123","Gibson, John","2","Open",
"8167","BUSN 231","4","Applied Business Statistics","3","","Lec","TR","1500-1615","LUTR 123","Sixbey, Shannon","3","Open",
"8168","BUSN 231","5","Applied Business Statistics","3","","Lec","TR","1630-1745","LUTR 123","Sixbey, Shannon","1","Open",
"8169","BUSN 231","6","Applied Business Statistics","3","","Lec","TR","1100-1215","LUTR 258","Kirac, Emre","0","Closed",
"8166","BUSN 231","7","Applied Business Statistics","3","","Lec","TR","0800-0915","LUTR 258","Kirac, Emre","0","Closed",
"9328","BUSN 231","8","Applied Business Statistics","3","","Lec","TR","0800-0915","LUTR 123","Bazzani, Phillip","0","Closed",
"8151","BUSN 251","ON1","Business Law I","3","","Lec","TR","1330-1445","SYN ","Bogenschneider, Bret","0","Closed",
"8170","BUSN 276L","1","Software Applctn for Business","2","","Lab","M","1800-2000","LUTR 105","Dougherty, Janna","0","Closed",
"8173","BUSN 276L","2","Software Applctn for Business","2","","Lab","T","1800-2000","LUTR 105","Kilgore, Jason","3","Open",
"8174","BUSN 276L","3","Software Applctn for Business","2","","Lab","T","2000-2200","LUTR 123","Kilgore, Jason","0","Closed",
"8171","BUSN 276L","4","Software Applctn for Business","2","","Lab","R","1800-2000","LUTR 123","Phillips, Brian","0","Closed",
"8172","BUSN 276L","5","Software Applctn for Business","2","","Lab","R","2000-2200","LUTR 123","Phillips, Brian","1","Open",
"8198","BUSN 300","1","Organizational Behavior","3","","Lec","MWF","1000-1050","LUTR 121","Hench, Jessica","2","Open",
"8152","BUSN 300","ON1","Organizational Behavior","3","","Lec","MWF","1200-1250","SYN ","Hench, Jessica","1","Open",
"8176","BUSN 303","1","Fundamentals of Business","3","","Lec","MWF","0900-0950","FORBES 2070A","McGreevy, Priscilla","0","Closed",
"8177","BUSN 303","2","Fundamentals of Business","3","","Lec","MWF","1200-1250","TRIB 2309","McGreevy, Priscilla","0","Closed",
"8178","BUSN 303","3","Fundamentals of Business","3","","Lec","MWF","1300-1350","TRIB 2309","McGreevy, Priscilla","0","Closed",
"8153","BUSN 304","2","Operations Management","3","","Lec","TR","1330-1445","LUTR 123","Kirac, Emre","0","Closed",
"8180","BUSN 304","ON1","Operations Management","3","","Lec","TR","1800-1915","SYN ","Riha, Raymond","0","Closed",
"8179","BUSN 304","ON2","Operations Management","3","","Lec","TR","1630-1745","SYN ","Riha, Raymond","0","Closed",
"8181","BUSN 305","ON1","Introduction to Data Analytics","3","","Lec","R","1800-2045","SYN ","Lamprecht, Donna","4","Open",
"8182","BUSN 305","ON2","Introduction to Data Analytics","3","","Lec","T","1800-2045","SYN ","Lamprecht, Donna","1","Open",
"8183","BUSN 305","ON3","Introduction to Data Analytics","3","","Lec","MWF","1000-1050","SYN ","Shaltayev, Dmitriy","0","Closed",
"8184","BUSN 305","ON4","Introduction to Data Analytics","3","","Lec","MWF","1100-1150","SYN ","Shaltayev, Dmitriy","0","Closed",
"8185","BUSN 311","1","Marketing Management","3","","Lec","MWF","1000-1050","LUTR 242","Scrofani, Lydia","0","Closed",
"8186","BUSN 311","2","Marketing Management","3","","Lec","MWF","1100-1150","LUTR 137","Scrofani, Lydia","1","Open",
